简单模式：基于多数投票，不使用权重

文件 1 (result.json) 总条目数: 2650
文件 2 (baseline_20000_2.jsonl ) 总条目数: 2650
所有文件共同条目数: 2650
在文件 1 (result.json) 中缺失的条目数: 0
在文件 2 (baseline_20000_2.jsonl ) 中缺失的条目数: 0
值不同的条目数: 292

所有不同值:
  索引 1: 文件 1: 16, 文件 2: 10
  索引 755: 文件 1: 40, 文件 2: 210
  索引 757: 文件 1: 79, 文件 2: 178
  索引 762: 文件 1: 191, 文件 2: 37
  索引 764: 文件 1: 117, 文件 2: 87
  索引 769: 文件 1: 178, 文件 2: 221
  索引 777: 文件 1: 15, 文件 2: 16
  索引 787: 文件 1: 214, 文件 2: 177
  索引 799: 文件 1: 163, 文件 2: 200
  索引 800: 文件 1: 200, 文件 2: 87
  索引 811: 文件 1: 186, 文件 2: 137
  索引 819: 文件 1: 92, 文件 2: 247
  索引 829: 文件 1: 63, 文件 2: 172
  索引 841: 文件 1: 181, 文件 2: 156
  索引 850: 文件 1: 32, 文件 2: 25
  索引 853: 文件 1: 45, 文件 2: 137
  索引 870: 文件 1: 162, 文件 2: 48
  索引 871: 文件 1: 137, 文件 2: 234
  索引 879: 文件 1: 149, 文件 2: 105
  索引 887: 文件 1: 226, 文件 2: 160
  索引 889: 文件 1: 113, 文件 2: 234
  索引 895: 文件 1: 203, 文件 2: 235
  索引 902: 文件 1: 131, 文件 2: 234
  索引 922: 文件 1: 53, 文件 2: 160
  索引 923: 文件 1: 181, 文件 2: 156
  索引 933: 文件 1: 160, 文件 2: 221
  索引 945: 文件 1: 163, 文件 2: 227
  索引 946: 文件 1: 103, 文件 2: 26
  索引 952: 文件 1: 0, 文件 2: 45
  索引 963: 文件 1: 73, 文件 2: 223
  索引 964: 文件 1: 252, 文件 2: 177
  索引 978: 文件 1: 114, 文件 2: 25
  索引 985: 文件 1: 11, 文件 2: 95
  索引 998: 文件 1: 75, 文件 2: 247
  索引 999: 文件 1: 109, 文件 2: 157
  索引 1003: 文件 1: 230, 文件 2: 105
  索引 1016: 文件 1: 9, 文件 2: 239
  索引 1017: 文件 1: 223, 文件 2: 198
  索引 1023: 文件 1: 159, 文件 2: 166
  索引 1032: 文件 1: 142, 文件 2: 91
  索引 1042: 文件 1: 74, 文件 2: 105
  索引 1047: 文件 1: 229, 文件 2: 245
  索引 1052: 文件 1: 247, 文件 2: 22
  索引 1066: 文件 1: 13, 文件 2: 121
  索引 1073: 文件 1: 150, 文件 2: 234
  索引 1081: 文件 1: 42, 文件 2: 124
  索引 1088: 文件 1: 80, 文件 2: 81
  索引 1091: 文件 1: 3, 文件 2: 150
  索引 1106: 文件 1: 250, 文件 2: 150
  索引 1112: 文件 1: 190, 文件 2: 234
  索引 1120: 文件 1: 51, 文件 2: 139
  索引 1124: 文件 1: 165, 文件 2: 88
  索引 1130: 文件 1: 137, 文件 2: 243
  索引 1136: 文件 1: 199, 文件 2: 233
  索引 1146: 文件 1: 45, 文件 2: 190
  索引 1149: 文件 1: 208, 文件 2: 143
  索引 1167: 文件 1: 210, 文件 2: 137
  索引 1168: 文件 1: 263, 文件 2: 44
  索引 1185: 文件 1: 194, 文件 2: 48
  索引 1187: 文件 1: 159, 文件 2: 181
  索引 1194: 文件 1: 199, 文件 2: 32
  索引 1203: 文件 1: 33, 文件 2: 256
  索引 1207: 文件 1: 179, 文件 2: 190
  索引 1212: 文件 1: 167, 文件 2: 96
  索引 1225: 文件 1: 115, 文件 2: 127
  索引 1227: 文件 1: 199, 文件 2: 233
  索引 1235: 文件 1: 78, 文件 2: 183
  索引 1241: 文件 1: 163, 文件 2: 226
  索引 1246: 文件 1: 114, 文件 2: 42
  索引 1249: 文件 1: 23, 文件 2: 165
  索引 1272: 文件 1: 199, 文件 2: 35
  索引 1275: 文件 1: 115, 文件 2: 224
  索引 1282: 文件 1: 234, 文件 2: 200
  索引 1299: 文件 1: 70, 文件 2: 180
  索引 1320: 文件 1: 147, 文件 2: 122
  索引 1326: 文件 1: 124, 文件 2: 52
  索引 1340: 文件 1: 1, 文件 2: 184
  索引 1344: 文件 1: 177, 文件 2: 9
  索引 1349: 文件 1: 137, 文件 2: 177
  索引 1356: 文件 1: 53, 文件 2: 118
  索引 1357: 文件 1: 174, 文件 2: 262
  索引 1363: 文件 1: 45, 文件 2: 200
  索引 1374: 文件 1: 9, 文件 2: 177
  索引 1392: 文件 1: 111, 文件 2: 234
  索引 1411: 文件 1: 225, 文件 2: 137
  索引 1413: 文件 1: 45, 文件 2: 234
  索引 1429: 文件 1: 234, 文件 2: 31
  索引 1450: 文件 1: 234, 文件 2: 163
  索引 1454: 文件 1: 10, 文件 2: 20
  索引 1464: 文件 1: 130, 文件 2: 256
  索引 1472: 文件 1: 239, 文件 2: 177
  索引 1489: 文件 1: 226, 文件 2: 45
  索引 1505: 文件 1: 74, 文件 2: 118
  索引 1514: 文件 1: 20, 文件 2: 243
  索引 1522: 文件 1: 254, 文件 2: 156
  索引 1544: 文件 1: 190, 文件 2: 259
  索引 1550: 文件 1: 227, 文件 2: 200
  索引 1569: 文件 1: 206, 文件 2: 132
  索引 1570: 文件 1: 63, 文件 2: 6
  索引 1594: 文件 1: 206, 文件 2: 177
  索引 1597: 文件 1: 87, 文件 2: 190
  索引 1603: 文件 1: 160, 文件 2: 41
  索引 1608: 文件 1: 227, 文件 2: 160
  索引 1614: 文件 1: 241, 文件 2: 181
  索引 1615: 文件 1: 227, 文件 2: 81
  索引 1621: 文件 1: 214, 文件 2: 9
  索引 1624: 文件 1: 27, 文件 2: 207
  索引 1625: 文件 1: 227, 文件 2: 42
  索引 1627: 文件 1: 163, 文件 2: 226
  索引 1629: 文件 1: 163, 文件 2: 200
  索引 1669: 文件 1: 186, 文件 2: 71
  索引 1688: 文件 1: 227, 文件 2: 206
  索引 1701: 文件 1: 255, 文件 2: 73
  索引 1711: 文件 1: 229, 文件 2: 172
  索引 1720: 文件 1: 234, 文件 2: 113
  索引 1731: 文件 1: 44, 文件 2: 60
  索引 1742: 文件 1: 91, 文件 2: 161
  索引 1748: 文件 1: 196, 文件 2: 87
  索引 1750: 文件 1: 74, 文件 2: 234
  索引 1758: 文件 1: 130, 文件 2: 61
  索引 1760: 文件 1: 214, 文件 2: 9
  索引 1763: 文件 1: 161, 文件 2: 78
  索引 1770: 文件 1: 63, 文件 2: 172
  索引 1771: 文件 1: 223, 文件 2: 70
  索引 1777: 文件 1: 45, 文件 2: 25
  索引 1779: 文件 1: 9, 文件 2: 177
  索引 1782: 文件 1: 2, 文件 2: 37
  索引 1786: 文件 1: 70, 文件 2: 156
  索引 1790: 文件 1: 45, 文件 2: 227
  索引 1797: 文件 1: 17, 文件 2: 229
  索引 1804: 文件 1: 243, 文件 2: 197
  索引 1805: 文件 1: 216, 文件 2: 49
  索引 1807: 文件 1: 49, 文件 2: 87
  索引 1813: 文件 1: 73, 文件 2: 255
  索引 1815: 文件 1: 42, 文件 2: 227
  索引 1838: 文件 1: 71, 文件 2: 137
  索引 1849: 文件 1: 194, 文件 2: 5
  索引 1851: 文件 1: 234, 文件 2: 71
  索引 1852: 文件 1: 39, 文件 2: 208
  索引 1853: 文件 1: 164, 文件 2: 190
  索引 1860: 文件 1: 234, 文件 2: 71
  索引 1864: 文件 1: 216, 文件 2: 227
  索引 1893: 文件 1: 166, 文件 2: 261
  索引 1916: 文件 1: 177, 文件 2: 214
  索引 1946: 文件 1: 183, 文件 2: 151
  索引 1956: 文件 1: 234, 文件 2: 113
  索引 1959: 文件 1: 177, 文件 2: 248
  索引 1961: 文件 1: 231, 文件 2: 263
  索引 1967: 文件 1: 100, 文件 2: 139
  索引 1973: 文件 1: 9, 文件 2: 177
  索引 1975: 文件 1: 16, 文件 2: 10
  索引 1984: 文件 1: 18, 文件 2: 70
  索引 1987: 文件 1: 166, 文件 2: 156
  索引 2010: 文件 1: 137, 文件 2: 10
  索引 2018: 文件 1: 87, 文件 2: 200
  索引 2022: 文件 1: 45, 文件 2: 91
  索引 2031: 文件 1: 216, 文件 2: 221
  索引 2035: 文件 1: 44, 文件 2: 60
  索引 2043: 文件 1: 156, 文件 2: 209
  索引 2055: 文件 1: 119, 文件 2: 234
  索引 2059: 文件 1: 100, 文件 2: 33
  索引 2084: 文件 1: 71, 文件 2: 137
  索引 2094: 文件 1: 86, 文件 2: 180
  索引 2097: 文件 1: 24, 文件 2: 47
  索引 2122: 文件 1: 239, 文件 2: 9
  索引 2129: 文件 1: 199, 文件 2: 233
  索引 2132: 文件 1: 150, 文件 2: 211
  索引 2137: 文件 1: 210, 文件 2: 190
  索引 2142: 文件 1: 247, 文件 2: 259
  索引 2153: 文件 1: 137, 文件 2: 71
  索引 2160: 文件 1: 208, 文件 2: 104
  索引 2172: 文件 1: 36, 文件 2: 71
  索引 2179: 文件 1: 201, 文件 2: 51
  索引 2182: 文件 1: 208, 文件 2: 221
  索引 2183: 文件 1: 45, 文件 2: 20
  索引 2190: 文件 1: 10, 文件 2: 163
  索引 2195: 文件 1: 112, 文件 2: 234
  索引 2198: 文件 1: 194, 文件 2: 12
  索引 2234: 文件 1: 247, 文件 2: 70
  索引 2264: 文件 1: 178, 文件 2: 152
  索引 2265: 文件 1: 226, 文件 2: 227
  索引 2277: 文件 1: 5, 文件 2: 150
  索引 2284: 文件 1: 87, 文件 2: 91
  索引 2302: 文件 1: 24, 文件 2: 158
  索引 2312: 文件 1: 178, 文件 2: 136
  索引 2316: 文件 1: 120, 文件 2: 115
  索引 2333: 文件 1: 160, 文件 2: 221
  索引 2347: 文件 1: 131, 文件 2: 164
  索引 2356: 文件 1: 163, 文件 2: 200
  索引 2372: 文件 1: 221, 文件 2: 57
  索引 2380: 文件 1: 12, 文件 2: 190
  索引 2383: 文件 1: 135, 文件 2: 87
  索引 2401: 文件 1: 177, 文件 2: 191
  索引 2403: 文件 1: 153, 文件 2: 26
  索引 2409: 文件 1: 55, 文件 2: 245
  索引 2412: 文件 1: 52, 文件 2: 87
  索引 2420: 文件 1: 74, 文件 2: 170
  索引 2446: 文件 1: 100, 文件 2: 212
  索引 2456: 文件 1: 87, 文件 2: 234
  索引 2473: 文件 1: 181, 文件 2: 156
  索引 2478: 文件 1: 2, 文件 2: 156
  索引 2482: 文件 1: 70, 文件 2: 156
  索引 2486: 文件 1: 11, 文件 2: 95
  索引 2492: 文件 1: 75, 文件 2: 235
  索引 2498: 文件 1: 100, 文件 2: 212
  索引 2499: 文件 1: 216, 文件 2: 227
  索引 2505: 文件 1: 125, 文件 2: 70
  索引 2509: 文件 1: 5, 文件 2: 251
  索引 2518: 文件 1: 9, 文件 2: 177
  索引 2523: 文件 1: 47, 文件 2: 80
  索引 2530: 文件 1: 73, 文件 2: 71
  索引 2548: 文件 1: 103, 文件 2: 230
  索引 2551: 文件 1: 71, 文件 2: 137
  索引 2604: 文件 1: 114, 文件 2: 202
  索引 2605: 文件 1: 88, 文件 2: 74
  索引 2614: 文件 1: 42, 文件 2: 227
  索引 2623: 文件 1: 243, 文件 2: 216
  索引 2633: 文件 1: 229, 文件 2: 163
  索引 2647: 文件 1: 242, 文件 2: 235
